단어,점수
떠듬거리다,-1
떠밀다,-1
떠받다,1
떠받치다,1
떠벌리다,-1
떠벌이다,-1
떠보다,-1
떠오르다,1
떠올리다,0
떠지다,0
떤다,-1
떨구다,0
떨다,0
떨리다,0
떨어뜨리다,0
떨어지다,0
떨치다,0
떼다,0
떼밀다,0
떼쓰다,-1
떼이다,0
뚜들기다,-1
뚫다,0
뚫리다,0
뚫어지다,0
뛰놀다,0
뛰다,
뛰어가다,0
뛰어나가다,0
뛰어나오다,0
뛰어내리다,0
뛰어넘다,0
뛰어놀다,0
뛰어다니다,0
뛰어들다,0
뛰어오다,0
뛰어오르다,0
뜨다,0
뜨이다,0
뜯기다,0
뜯다,0
뜸뜨다,0
띄다,0
띄우다,0
띠이다,0
리듬타다,0
마는,0
마시기,0
마시다,0
마심,0
마싯다,0
마음먹다,0
마음잡다,0
마주,0
마주치다,0
마지않다,0
마치,
마치다,0
마침,0
막내,0
막다,0
막히다,0
만나다,0
만난,0
만날,0
만남,0
만들다,0
만들어지다,0
만인,0
만지다,0
만지작대다,0
만치,0
만하,0
많아지다,0
말개지다,0
말고는,0
말고도,0
말다,0
말러,0
말리,0
말리다,0
말림,0
말씀드리다,0
말아먹다,0
맛보다,0
망가지다,0
망설이다,-1
망치,0
망치다,-2
맞다,-2
맞닿다,0
맞대다,0
맞먹다,0
맞부딪다,-1
맞부딪치다,-1
맞붙다,-2
맞서다,-1
맞이,0
맞추다,0
맞춤,0
맡기다,0
맡다,0
매끄러지다,0
매끌거리다,0
매다,0
매달다,0
매달리다,0
매도,0
매만지다,0
매수,
매실,0
매우,0
매치다,-1
맴돈다,0
맴돌다,0
맺다,0
머거다,0
머겅다,0
머구다,0
머무르다,0
머물다,0
머뭇거리다,0
먹고다,0
먹고살다,0
먹기,0
먹다,0
먹듯,0
먹어주다,1
먹여주다,1
먹음,0
먹이,0
먹이다,-1
먹히다,-1
멀어지다,0
멈추다,0
멈칫대다,0
멎다,0
메기,0
메다,0
메우다,0
메이,0
메인,0
모르다,0
모름,0
모시,0
모시다,0
모여들다,0
모으다,0
모이,0
모이다,0
모임,0
모자라다,0
몰다,0
몰랑대다,0
몰려들다,0
몰려오다,0
몰리,0
몰리다,0
몰아치다,0
몰이,0
못자다,0
무너지다,-1
무시,0
무치다,0
묵고,0
묵다,0
묵음,0
묶다,0
묶이다,0
묶인,0
문고,0
문과,0
문구,0
문대,0
문서,0
문어,0
문인,0
문자,0
문지르다,0
문하,0
묻다,0
묻히다,0
물다,0
물들다,0
물러나다,0
물러서다,0
물러앉다,0
물렁대다,0
물르다,0
물리,0
물리다,0
물말,0
물어,0
물어보다,0
물이,0
물줄기,0
뭉그러지다,0
뭉그적거리다,0
뭉치다,0
뭐라다,0
미끄러지다,0
미끌거리다,0
미끌대다,0
미루다,0
미우다,0
믿다,0
믿어지다,0
밀고,0
밀다,0
밀려오다,0
밀리,0
밀리다,0
밀림,0
밀면,0
밀치다,0
바글대다,0
바꾸다,0
바꿈,0
바꿔치다,0
바뀌다,0
바닥나다,0
바라다,0
바라다보다,0
바라다보이다,0
바라보다,0
